anomaly_id,name,desc,level,image,success_event_ids,source_file,name_source_file,desc_source_file
crashed_ship_asteroid_category,[Missing] crashed_ship_asteroid_category.name,A vessel of some kind has crashed into the surface of this asteroid. Wreckage from the craft can still be found within the impact crater.,3,GFX_evt_crashed_station,[],00_anomaly_categories.txt,,events_l_english.yml
origin_asteroid_category,[Missing] origin_asteroid_category.name,"The material composition of this asteroid differs significantly from its neighbors. It likely has a different origin than the other bodies of this asteroid belt, and should be investigated more closely.",1,GFX_evt_mining_station,[],00_anomaly_categories.txt,,events_l_english.yml
debris_asteroid_category,[Missing] debris_asteroid_category.name,The surface of this asteroid is littered with metallic debris. Most of it appears to originate from starships of many different designs.,3,GFX_evt_mining_station,[],00_anomaly_categories.txt,,events_l_english.yml
emissions_asteroid_category,[Missing] emissions_asteroid_category.name,Strong energy emissions of an unknown origin make this asteroid stand out from the rest of its peers in this crowded asteroid field.,1,GFX_evt_mining_station,[],00_anomaly_categories.txt,,events_l_english.yml
hatch_asteroid_category,[Missing] hatch_asteroid_category.name,"A small docking hatch leading to the interior of this asteroid is visible at the rim of a small crater on its surface. The hatch was likely concealed once, but it has since been exposed by micrometeorite impacts.",3,GFX_evt_mining_station,[],00_anomaly_categories.txt,,events_l_english.yml
collision_asteroid_category,[Missing] collision_asteroid_category.name,"This asteroid recently suffered an impact from another body within the asteroid belt, which resulted in a slightly changed orbit and a massive crater on the surface.",1,GFX_evt_mining_station,[],00_anomaly_categories.txt,,events_l_english.yml
station_asteroid_category,[Missing] station_asteroid_category.name,A small space station of some kind has been built in a stable orbit around this asteroid. It appears deserted.,3,GFX_evt_mining_station,[],00_anomaly_categories.txt,,events_l_english.yml
life_asteroid_category,[Missing] life_asteroid_category.name,We are picking up life signs coming from somewhere within the interior of this asteroid. This definitely warrants a closer investigation.,2,GFX_evt_microscopic_life,[],00_anomaly_categories.txt,,events_l_english.yml
object_gasgiant_category,[Missing] object_gasgiant_category.name,Sensor echoes have indicated the presence of some kind of unidentified object deep within the atmosphere of this gas giant.,4,GFX_evt_gas_giant_station,[],00_anomaly_categories.txt,,events_l_english.yml
moon_gasgiant_category,[Missing] moon_gasgiant_category.name,One of the small moonlets orbiting this gas giant has been identified as a promising mining site. A more thorough survey will have to be conducted to determine whether a mining operation would be feasible or not.,1,GFX_evt_ship_in_orbit_3,[],00_anomaly_categories.txt,,events_l_english.yml
life_gasgiant_category,[Missing] life_gasgiant_category.name,Life signs have been detected coming from inside the atmosphere of this gas giant. Could it indicate the presence of some kind of biosphere?,2,GFX_evt_atmospheric_flight,[],00_anomaly_categories.txt,,events_l_english.yml
storms_gasgiant_category,[Missing] storms_gasgiant_category.name,Massive storms are visible in the upper atmosphere of this gas giant. It might be worth the effort to study them in more detail.,1,GFX_evt_atmospheric_flight,[],00_anomaly_categories.txt,,events_l_english.yml
aerostat_gasgiant_category,[Missing] aerostat_gasgiant_category.name,Some kind of unknown structures are floating in this gas giant's upper atmosphere. They appear to be using aerostatic lift to remain buoyant.,1,GFX_evt_gas_giant_station,[],00_anomaly_categories.txt,,events_l_english.yml
cargo_gasgiant_category,[Missing] cargo_gasgiant_category.name,"A small cargo pod has been left to drift in space above this gas giant. It has been captured by the planet's gravity well, and will eventually be pulled into its atmosphere. ",1,GFX_evt_ship_in_orbit,[],00_anomaly_categories.txt,,events_l_english.yml
debris_gasgiant_category,[Missing] debris_gasgiant_category.name,There is a significant amount of debris in orbit around this gas giant. Most of it appears to come from long lost starships of various configurations.,1,GFX_evt_ruined_system,[],00_anomaly_categories.txt,,events_l_english.yml
