id,name,desc,level,image,success_event_ids,source_file
crashed_ship_asteroid_category,,,3,GFX_evt_crashed_station,"crashed_ship_asteroid_category_desc, GFX_evt_crashed_station, 3, 3, yes, anomaly.35, 0, yes, anomaly.65",00_anomaly_categories.txt
origin_asteroid_category,,,1,GFX_evt_mining_station,"GFX_evt_mining_station, 1, 3, yes, 0, yes, anomaly.1, anomaly.15, yes, 0, yes, distar.225",00_anomaly_categories.txt
debris_asteroid_category,,,3,GFX_evt_mining_station,"GFX_evt_mining_station, 3, 3, yes, no, anomaly.30, anomaly.6800",00_anomaly_categories.txt
emissions_asteroid_category,,,1,GFX_evt_mining_station,"GFX_evt_mining_station, 1, 3, yes, 0, yes, anomaly.50, anomaly.60",00_anomaly_categories.txt
hatch_asteroid_category,,,3,GFX_evt_mining_station,"GFX_evt_mining_station, 3, 3, yes, anomaly.5, 0, yes, anomaly.25",00_anomaly_categories.txt
collision_asteroid_category,,,1,GFX_evt_mining_station,"GFX_evt_mining_station, 1, 3, yes, yes, 0, yes, anomaly.55, anomaly.6805",00_anomaly_categories.txt
station_asteroid_category,,,3,GFX_evt_mining_station,"GFX_evt_mining_station, 3, 3, yes, yes, anomaly.40, anomaly.6810",00_anomaly_categories.txt
life_asteroid_category,,,2,GFX_evt_microscopic_life,"GFX_evt_microscopic_life, 2, 3, yes, no, yes, anomaly.10, anomaly.6825",00_anomaly_categories.txt
object_gasgiant_category,,,4,GFX_evt_gas_giant_station,"GFX_evt_gas_giant_station, 4, 3, pc_gas_giant, anomaly.325, anomaly.335",00_anomaly_categories.txt
moon_gasgiant_category,,,1,GFX_evt_ship_in_orbit_3,"GFX_evt_ship_in_orbit_3, 1, 3, pc_gas_giant, no, yes, anomaly.340, 10, no, anomaly.6840",00_anomaly_categories.txt
life_gasgiant_category,,,2,GFX_evt_atmospheric_flight,"GFX_evt_atmospheric_flight, 2, 3, pc_gas_giant, no, yes, anomaly.300, anomaly.6845",00_anomaly_categories.txt
storms_gasgiant_category,,,1,GFX_evt_atmospheric_flight,"GFX_evt_atmospheric_flight, 1, 3, pc_gas_giant, anomaly.330, 1, shipclass_science_ship, anomaly.6855",00_anomaly_categories.txt
aerostat_gasgiant_category,,,1,GFX_evt_gas_giant_station,"GFX_evt_gas_giant_station, 1, 3, pc_gas_giant, anomaly.310, anomaly.315",00_anomaly_categories.txt
cargo_gasgiant_category,,,1,GFX_evt_ship_in_orbit,"GFX_evt_ship_in_orbit, 1, 3, pc_gas_giant, anomaly.305, anomaly.6865",00_anomaly_categories.txt
debris_gasgiant_category,,,1,GFX_evt_ruined_system,"GFX_evt_ruined_system, 1, 3, pc_gas_giant, no, 1, com_sol, nuked_sol, human_1, humans_early_space_age, yes, human_1, human_2, distar.1055, anomaly.320",00_anomaly_categories.txt
impact_uninhabitable_category,,,2,GFX_evt_nuclear_explosion,"GFX_evt_nuclear_explosion, 2, 3, yes, 0, yes, anomaly.600, anomaly.605",00_anomaly_categories.txt
energy_uninhabitable_category,,,2,GFX_evt_ship_in_orbit_3,"GFX_evt_ship_in_orbit_3, 2, 3, yes, 0, yes, anomaly.610, anomaly.615, anomaly.655, distar.1040",00_anomaly_categories.txt
signal_uninhabitable_category,,,2,GFX_evt_ship_in_orbit_2,"GFX_evt_ship_in_orbit_2, 2, 3, yes, anomaly.625, anomaly.630",00_anomaly_categories.txt
