anomaly_id,name,desc,level,success_event_ids,source_file,source_localisation
crashed_ship_asteroid_category,???,???,3.0,,00_anomaly_categories.txt,???
on_success,???,???,,anomaly.35,00_anomaly_categories.txt,???
origin_asteroid_category,???,???,1.0,,00_anomaly_categories.txt,???
on_success,???,???,,,00_anomaly_categories.txt,???
0,???,???,,anomaly.15,00_anomaly_categories.txt,???
modifier,???,???,,,00_anomaly_categories.txt,???
debris_asteroid_category,???,???,3.0,,00_anomaly_categories.txt,???
on_success,???,???,,"anomaly.30, anomaly.6800",00_anomaly_categories.txt,???
emissions_asteroid_category,???,???,1.0,,00_anomaly_categories.txt,???
on_success,???,???,,,00_anomaly_categories.txt,???
hatch_asteroid_category,???,???,3.0,,00_anomaly_categories.txt,???
on_success,???,???,,anomaly.5,00_anomaly_categories.txt,???
collision_asteroid_category,???,???,1.0,,00_anomaly_categories.txt,???
on_success,???,???,,,00_anomaly_categories.txt,???
station_asteroid_category,???,???,3.0,,00_anomaly_categories.txt,???
on_success,???,???,,"anomaly.40, anomaly.6810",00_anomaly_categories.txt,???
life_asteroid_category,???,???,2.0,,00_anomaly_categories.txt,???
on_success,???,???,,"anomaly.10, anomaly.6825",00_anomaly_categories.txt,???
object_gasgiant_category,???,???,4.0,,00_anomaly_categories.txt,???
on_success,???,???,,"anomaly.325, anomaly.335",00_anomaly_categories.txt,???
moon_gasgiant_category,???,???,1.0,,00_anomaly_categories.txt,???
on_success,???,???,,anomaly.340,00_anomaly_categories.txt,???
life_gasgiant_category,???,???,2.0,,00_anomaly_categories.txt,???
on_success,???,???,,"anomaly.300, anomaly.6845",00_anomaly_categories.txt,???
storms_gasgiant_category,???,???,1.0,,00_anomaly_categories.txt,???
on_success,???,???,,anomaly.330,00_anomaly_categories.txt,???
aerostat_gasgiant_category,???,???,1.0,,00_anomaly_categories.txt,???
on_success,???,???,,"anomaly.310, anomaly.315",00_anomaly_categories.txt,???
cargo_gasgiant_category,???,???,1.0,,00_anomaly_categories.txt,???
on_success,???,???,,"anomaly.305, anomaly.6865",00_anomaly_categories.txt,???
debris_gasgiant_category,???,???,1.0,,00_anomaly_categories.txt,???
on_success,???,???,,,00_anomaly_categories.txt,???
any_country,???,???,,,00_anomaly_categories.txt,???
owner,???,???,,,00_anomaly_categories.txt,???
impact_uninhabitable_category,???,???,2.0,,00_anomaly_categories.txt,???
on_success,???,???,,,00_anomaly_categories.txt,???
energy_uninhabitable_category,???,???,2.0,,00_anomaly_categories.txt,???
on_success,???,???,,,00_anomaly_categories.txt,???
signal_uninhabitable_category,???,???,2.0,,00_anomaly_categories.txt,???
on_success,???,???,,"anomaly.625, anomaly.630",00_anomaly_categories.txt,???
asteroid_uninhabitable_category,???,???,1.0,,00_anomaly_categories.txt,???
modifier,???,???,,,00_anomaly_categories.txt,???
on_success,???,???,,,00_anomaly_categories.txt,???
solar_uninhabitable_category,???,???,2.0,,00_anomaly_categories.txt,???
life_toxic_category,???,???,2.0,,00_anomaly_categories.txt,???
on_success,???,???,,"anomaly.690, anomaly.6895",00_anomaly_categories.txt,???
life_frozen_category,???,???,2.0,,00_anomaly_categories.txt,???
on_success,???,???,,"anomaly.2510, anomaly.6900",00_anomaly_categories.txt,???
life_barren_category,???,???,2.0,,00_anomaly_categories.txt,???
station_uninhabitable_category,???,???,1.0,,00_anomaly_categories.txt,???
battle_uninhabitable_category,???,???,4.0,,00_anomaly_categories.txt,???
shipyard_uninhabitable_category,???,???,4.0,,00_anomaly_categories.txt,???
inhabited_toxic_category,???,???,1.0,,00_anomaly_categories.txt,???
on_success,???,???,,"anomaly.670, anomaly.685",00_anomaly_categories.txt,???
writing_uninhabitable_category,???,???,2.0,,00_anomaly_categories.txt,???
beacon_uninhabitable_category,???,???,1.0,,00_anomaly_categories.txt,???
